fips,rural_urban,no_diploma
40041,6,0.151
40043,9,0.062
40045,9,0.142
40047,5,0.121
40049,6,0.137
40051,1,0.099
40053,9,0.093
40055,7,0.161
40057,9,0.203
40059,9,0.182
40061,6,0.153
40063,7,0.178
40065,7,0.149
40067,8,0.168
40069,9,0.14
40071,5,0.132
40073,6,0.117
40075,6,0.153
40077,7,0.122
40079,2,0.165
40081,1,0.128
40083,1,0.099
40085,9,0.176
40087,1,0.099
40089,7,0.171
40091,6,0.142
40093,9,0.114
40095,6,0.209
40097,6,0.135
40099,7,0.158
40101,4,0.147
40103,6,0.095
40105,6,0.111
40107,6,0.205
40109,1,0.126
40111,2,0.137
40113,2,0.117
40115,6,0.147
40117,2,0.112
40119,4,0.078
40121,5,0.13
40123,7,0.108
40125,4,0.12
40127,9,0.168
40129,9,0.116
40131,2,0.08
40133,7,0.157
40135,2,0.187
40137,4,0.127
40139,7,0.277
40141,6,0.225
40143,2,0.106
40145,2,0.094
40147,4,0.096
40149,7,0.099
40151,7,0.102
40153,7,0.123
41000,,0.093
41001,7,0.09
41003,3,0.041
41005,1,0.066
41007,4,0.079
41009,1,0.087
41011,5,0.112
41013,6,0.1
41015,7,0.097
41017,3,0.063
41019,4,0.104
41021,9,0.1
41023,9,0.112
41025,7,0.084
41027,6,0.187
41029,3,0.099
41031,6,0.13
41033,3,0.096
41035,5,0.119
41037,7,0.135
41039,2,0.081
41041,5,0.085
41043,3,0.105
41045,6,0.189
41047,2,0.148
41049,6,0.242
41051,1,0.085
41053,2,0.091
41055,9,0.107
41057,6,0.104
41059,4,0.176
41061,7,0.073
41063,9,0.069
41065,6,0.136
41067,1,0.078
41069,9,0.084
41071,1,0.111
42000,,0.095
42001,3,0.112
42003,1,0.054
42005,1,0.097
42007,1,0.069
42009,6,0.121
42011,2,0.133
42013,3,0.086
42015,6,0.099
42017,1,0.061
42019,1,0.051
42021,3,0.08
42023,7,0.093
42025,2,0.106
42027,3,0.057
42029,1,0.064
42031,6,0.099
42033,4,0.128
42035,4,0.107
42037,3,0.097
42039,4,0.11
42041,2,0.077
42043,2,0.102
42045,1,0.069
42047,7,0.077
42049,2,0.087
42051,1,0.116
42053,9,0.17
42055,3,0.117
42057,8,0.122
42059,6,0.125
42061,6,0.105
42063,4,0.1
42065,7,0.107
42067,6,0.167
42069,2,0.09
42071,2,0.15
42073,4,0.092
42075,3,0.128
42077,2,0.11
42079,2,0.102
42081,3,0.099
42083,7,0.082
42085,2,0.101
42087,4,0.15
42089,3,0.104
42091,1,0.056
42093,3,0.094
42095,2,0.091
42097,4,0.12
42099,2,0.126
42101,1,0.153
42103,1,0.07
42105,9,0.12
42107,4,0.107
42109,7,0.134
42111,4,0.118
42113,8,0.104
42115,6,0.102
42117,6,0.096
42119,4,0.132
42121,4,0.098
42123,6,0.071
42125,1,0.069
42127,6,0.104
42129,1,0.056
42131,2,0.078
42133,2,0.101
44000,,0.112
44001,1,0.091
44003,1,0.078
44005,1,0.06
44007,1,0.142
44009,1,0.051
45000,,0.125
45001,6,0.183
45003,2,0.12
45005,6,0.202
45007,2,0.147
45009,7,0.197
45011,6,0.202
45013,3,0.072
45015,2,0.106
45017,2,0.138
45019,2,0.083
45021,4,0.197
45023,1,0.179
45025,6,0.233
45027,6,0.215
45029,6,0.134
45031,3,0.176
45033,6,0.247
45035,2,0.103
45037,2,0.171
45039,2,0.138
45041,3,0.15
45043,4,0.128
45045,2,0.12
45047,4,0.148
45049,6,0.19
45051,2,0.104
45053,3,0.182
45055,2,0.122
45057,1,0.141
45059,2,0.191
45061,6,0.185
45063,2,0.104
45065,8,0.166
45067,6,0.211
45069,6,0.228
45071,6,0.18
45073,4,0.151
45075,4,0.141
45077,2,0.147
45079,2,0.085
45081,2,0.218
45083,2,0.143
45085,3,0.145
45087,2,0.188
45089,6,0.199
45091,1,0.092
46000,,0.083
46003,9,0.13
46005,7,0.157
46007,9,0.196
46009,9,0.126
46011,5,0.05
46013,5,0.07
46015,9,0.111
46017,9,0.219
46019,6,0.09
46021,9,0.1
46023,9,0.115
46025,9,0.088
46027,6,0.05
46029,5,0.085
46031,9,0.162
46033,3,0.064
46035,7,0.079
46037,9,0.105
46039,9,0.089
46041,9,0.146
46043,9,0.115
46045,9,0.069
46047,6,0.056
46049,9,0.067
46051,7,0.093
46053,9,0.106
46055,8,0.061
46057,9,0.082
46059,9,0.061
46061,8,0.078
46063,9,0.093
46065,7,0.078
46067,8,0.123
46069,9,0.074
46071,8,0.176
46073,9,0.106
46075,9,0.047
46077,9,0.093
46079,6,0.091
46081,6,0.065
46083,3,0.052
46085,9,0.103
46087,3,0.113
46089,9,0.176
46091,9,0.079
46093,3,0.056
46095,9,0.184
46097,8,0.102
46099,3,0.075
46101,8,0.096
46102,6,0.261
46103,3,0.065
46105,8,0.076
46107,9,0.072
46109,9,0.104
46111,9,0.066
46115,9,0.089
46117,9,0.051
46119,9,0.044
46121,9,0.201
46123,7,0.091
46125,3,0.08
46127,3,0.074
46129,7,0.1
46135,7,0.091
46137,8,0.159
47000,,0.125
47001,2,0.13
47003,4,0.179
47005,7,0.176
47007,8,0.244
47009,2,0.109
47011,3,0.147
47013,2,0.227
47015,1,0.155
47017,6,0.159
47019,3,0.165
47021,1,0.13
47023,3,0.148
47025,6,0.199
47027,9,0.197
47029,6,0.199
47031,4,0.146
47033,3,0.188
47035,4,0.142
47037,1,0.109
47039,9,0.141
47041,6,0.199
47043,1,0.163
47045,5,0.161
47047,1,0.138
47049,9,0.17
47051,6,0.125
47053,4,0.147
47055,6,0.142
47057,2,0.214
47059,4,0.153
47061,8,0.256
47063,3,0.187
47065,2,0.105
47067,8,0.229
47069,6,0.204
47071,6,0.185
47073,2,0.156
47075,6,0.18
47077,6,0.173
47079,7,0.141
47081,1,0.214
47083,8,0.228
47085,6,0.151
47087,8,0.218
47089,3,0.147
47091,6,0.202
47093,2,0.083
47095,9,0.271
47097,6,0.229
47099,6,0.166
47101,6,0.157
47103,6,0.165
47105,2,0.138
47107,4,0.155
47109,6,0.174
47111,1,0.197
47113,3,0.111
47115,2,0.185
47117,6,0.146
47119,1,0.098
47121,8,0.162
47123,6,0.176
47125,2,0.071
47127,9,0.141
47129,2,0.197
47131,7,0.165
47133,7,0.194
47135,8,0.251
47137,9,0.256
47139,3,0.176
47141,4,0.134
47143,6,0.192
47145,2,0.111
47147,1,0.128
47149,1,0.082
47151,6,0.202
47153,2,0.184
47155,4,0.15
47157,1,0.116
47159,1,0.147
47161,8,0.128
47163,2,0.128
47165,1,0.103
47167,1,0.122
47169,1,0.156
47171,3,0.15
47173,2,0.229
47175,9,0.21
47177,6,0.205
47179,3,0.112
47181,8,0.198
47183,7,0.149
47185,7,0.168
47187,1,0.047
47189,1,0.084
48000,,0.163
48001,7,0.187
48003,6,0.277
48005,5,0.181
48007,2,0.155
48009,3,0.097
48011,2,0.131
48013,1,0.229
48015,1,0.16
48017,7,0.231
48019,1,0.107
48021,1,0.181
48023,8,0.145
48025,6,0.246
48027,2,0.09
48029,1,0.158
48031,8,0.099
48033,8,0.053
48035,6,0.135
48037,3,0.112
48039,1,0.121
48041,3,0.128
48043,7,0.143
48045,9,0.139
48047,7,0.312
48049,5,0.128
48051,3,0.175
48053,6,0.117
48055,1,0.218
48057,6,0.207
48059,3,0.118
48061,2,0.321
48063,6,0.128
48065,2,0.067
48067,6,0.141
48069,6,0.259
48071,1,0.115
48073,6,0.21
48075,7,0.18
48077,3,0.095
48079,9,0.323
48081,8,0.163
48083,6,0.135
48085,1,0.062
48087,9,0.261
48089,6,0.169
48091,1,0.074
48093,7,0.155
48095,8,0.321
48097,6,0.139
48099,2,0.12
48101,9,0.238
48103,6,0.205
48105,7,0.23
48107,2,0.24
48109,9,0.337
48111,7,0.296
48113,1,0.207
48115,7,0.301
48117,6,0.262
48119,8,0.122
48121,1,0.075
48123,6,0.192
48125,8,0.156
48127,6,0.336
48129,8,0.113
48131,7,0.314
48133,6,0.156
48135,3,0.24
48137,9,0.279
48139,1,0.138
48141,2,0.215
48143,4,0.117
48145,2,0.231
48147,6,0.145
48149,6,0.139
48151,8,0.139
48153,6,0.258
48155,9,0.181
48157,1,0.094
48159,7,0.087
48161,7,0.174
48163,6,0.338
48165,7,0.382
48167,1,0.11
48169,6,0.384
48171,7,0.11
48173,8,0.306
48175,3,0.17
48177,6,0.233
48179,6,0.198
48181,3,0.113
48183,3,0.159
48185,6,0.194
48187,1,0.113
48189,4,0.234
48191,9,0.204
48193,6,0.16
48195,7,0.322
48197,9,0.211
48199,2,0.12
48201,1,0.186
48203,4,0.147
48205,7,0.174
48207,6,0.297
48209,1,0.099
48211,7,0.179
48213,4,0.165
48215,2,0.343
48217,6,0.165
48219,6,0.238
48221,1,0.106
48223,6,0.151
48225,7,0.188
48227,4,0.2
48229,2,0.445
48231,1,0.155
48233,6,0.14
48235,3,0.068
48237,6,0.18
48239,6,0.176
48241,6,0.15
48243,9,0.211
48245,2,0.158
48247,6,0.255
48249,4,0.251
48251,1,0.143
48253,3,0.216
48255,6,0.243
48257,1,0.142
48259,1,0.072
48261,9,0.736
48263,9,0.142
48265,4,0.114
48267,7,0.149
48269,9,0.203
48271,7,0.215
48273,4,0.216
48275,9,0.181
48277,5,0.157
48279,6,0.251
48281,2,0.09
48283,6,0.364
48285,6,0.144
48287,6,0.154
48289,8,0.182
48291,1,0.227
48293,6,0.189
48295,9,0.179
48297,8,0.231
48299,7,0.142
48301,9,0.197
48303,2,0.138
48305,2,0.246
48307,7,0.232
48309,2,0.151
48311,9,0.073
48313,6,0.192
48315,8,0.148
48317,3,0.226
48319,9,0.123
48321,4,0.194
48323,5,0.405
48325,1,0.168
48327,9,0.221
48329,3,0.155
48331,6,0.186
48333,9,0.17
48335,7,0.213
48337,6,0.143
48339,1,0.123
48341,7,0.327
48343,6,0.114
48345,9,0.125
48347,5,0.171
48349,4,0.216
48351,2,0.166
48353,6,0.177
48355,2,0.172
48357,7,0.256
48359,2,0.097
48361,2,0.121
48363,6,0.158
48365,6,0.171
48367,1,0.114
48369,7,0.292
48371,7,0.309
48373,6,0.184
48375,2,0.23
48377,7,0.466
48379,8,0.146
48381,2,0.077
48383,6,0.178
48385,9,0.167
48387,6,0.146
48389,7,0.303
48391,6,0.197
48393,9,0.073
48395,3,0.155
48397,1,0.073
48399,6,0.208
48401,3,0.194
48403,8,0.153
48405,9,0.177
48407,8,0.155
48409,2,0.201
48411,7,0.252
48413,8,0.204
48415,7,0.213
48417,8,0.136
48419,7,0.236
48421,9,0.21
48423,3,0.142
48425,1,0.104
48427,4,0.467
48429,7,0.215
48431,8,0.106
48433,9,0.187
48435,7,0.261
48437,6,0.267
48439,1,0.139
48441,3,0.107
48443,9,0.135
48445,6,0.316
48447,9,0.134
48449,7,0.233
48451,3,0.137
48453,1,0.107
48455,7,0.169
48457,6,0.18
48459,3,0.142
48461,8,0.244
48463,6,0.242
48465,5,0.318
48467,6,0.154
48469,3,0.162
48471,4,0.14
48473,1,0.175
48475,6,0.214
48477,6,0.133
48479,2,0.324
48481,4,0.217
48483,9,0.198
48485,3,0.134
48487,6,0.228
48489,6,0.343
48491,1,0.068
48493,1,0.124
48495,6,0.308
48497,1,0.147
48499,6,0.153
48501,7,0.365
48503,7,0.17
48505,6,0.381
48507,7,0.331
49000,,0.077
49001,7,0.111
49003,2,0.069
49005,3,0.069
49007,7,0.084
49009,9,0.06
49011,2,0.044
49013,7,0.112
49015,7,0.062
49017,9,0.073
49019,7,0.067
49021,4,0.071
49023,2,0.089
49025,6,0.075
49027,7,0.119
49029,2,0.019
49031,9,0.09
49033,8,0.043
49035,1,0.092
49037,7,0.151
49039,6,0.098
49041,7,0.094
49043,4,0.051
49045,1,0.087
49047,7,0.143
49049,2,0.054
49051,6,0.054
49053,3,0.071
49055,9,0.116
49057,2,0.094
50000,,0.073
50001,6,0.065
50003,6,0.088
50005,7,0.087
50007,3,0.056
50009,9,0.132
50011,3,0.093
50013,3,0.071
50015,8,0.072
50017,9,0.082
50019,7,0.117
50021,4,0.074
50023,4,0.063
50025,7,0.076
50027,7,0.066
51000,,0.103
51001,8,0.185
51003,3,0.079
51005,6,0.14
51007,1,0.161
51009,2,0.144
51011,2,0.141
51013,1,0.057
51015,3,0.126
51017,8,0.097
51019,2,0.1
51021,8,0.114
51023,2,0.072
51025,6,0.215
51027,9,0.299
51029,3,0.202
51031,2,0.128
51033,1,0.149
51035,7,0.192
51036,1,0.203
51037,8,0.168
51041,1,0.077
51043,1,0.109
51045,2,0.092
51047,1,0.139
51049,8,0.165
51051,9,0.226
51053,1,0.168
51057,6,0.177
51059,1,0.075
51061,1,0.075
51063,3,0.13
51065,3,0.089
51067,2,0.119
51069,3,0.108
51071,3,0.111
51073,1,0.104
51075,1,0.086
51077,9,0.187
51079,3,0.139
51081,6,0.222
51083,6,0.185
51085,1,0.069
51087,1,0.083
51089,4,0.199
51091,8,0.115
51093,1,0.121
51095,1,0.049
51097,8,0.119
51099,6,0.067
51101,1,0.079
51103,9,0.096
51105,8,0.233
51107,1,0.061
51109,8,0.148
51111,9,0.222
51113,8,0.139
51115,1,0.095
51117,7,0.181
51119,8,0.129
51121,3,0.068
51125,3,0.143
51127,1,0.073
51131,8,0.175
51133,9,0.09
51135,6,0.203
51137,6,0.113
51139,6,0.174
51141,8,0.198
51143,4,0.173
51145,1,0.101
51147,6,0.14
51149,1,0.094
51153,1,0.115
51155,3,0.126
51157,1,0.116
51159,9,0.194
51161,2,0.077
51163,6,0.132
51165,3,0.16
51167,7,0.197
51169,2,0.186
51171,6,0.13
51173,7,0.167
51175,6,0.152
51177,1,0.088
51179,1,0.068
51181,8,0.15
51183,1,0.197
51185,5,0.183
51187,1,0.131
51191,2,0.143
51193,6,0.155
51195,7,0.241
51197,6,0.138
51199,1,0.053
51510,1,0.07
51515,2,0
51520,2,0.153
51530,6,0.189
51540,3,0.089
51550,1,0.079
51560,,0
51570,1,0.085
51580,6,0.127
51590,4,0.182
51595,6,0.206
51600,1,0.06
51610,1,0.011
51620,6,0.137
51630,1,0.098
51640,7,0.243
51650,1,0.086
51660,3,0.161
51670,1,0.187
51678,6,0.086
51680,2,0.113
51683,1,0.173
51685,1,0.173
51690,4,0.172
51700,1,0.09
51710,1,0.12
51720,7,0.16
51730,1,0.172
51735,1,0.051
51740,1,0.117
51750,3,0.088
51760,1,0.146
51770,2,0.138
51775,2,0.108
51790,3,0.103
51800,1,0.101
51810,1,0.065
51820,3,0.139
51830,1,0.053
51840,3,0.159
53000,,0.087
53001,6,0.331
53003,3,0.086
53005,2,0.098
53007,3,0.174
53009,5,0.075
53011,1,0.073
53013,3,0.088
53015,3,0.107
53017,3,0.179
53019,9,0.13
53021,2,0.25
53023,8,0.056
53025,5,0.233
53027,4,0.103
53029,4,0.047
53031,6,0.049
53033,1,0.069
53035,2,0.052
53037,4,0.086
53039,6,0.12
53041,4,0.125
53043,8,0.073
53045,4,0.114
53047,6,0.161
53049,7,0.117
53051,2,0.089
53053,1,0.085
53055,9,0.041
53057,3,0.098
53059,1,0.084
53061,1,0.077
53063,2,0.062
53065,2,0.094
53067,2,0.063
53069,8,0.079
53071,3,0.117
53073,3,0.072
53075,4,0.045
53077,3,0.263
54000,,0.131
54001,6,0.147
54003,2,0.11
54005,3,0.203
54007,8,0.196
54009,3,0.094
54011,2,0.12
54013,8,0.195
54015,3,0.227
54017,9,0.18
54019,3,0.172
54021,7,0.15
54023,7,0.179
54025,6,0.14
54027,3,0.157
54029,3,0.096
54031,6,0.197
54033,5,0.112
54035,6,0.117
54037,1,0.102
54039,3,0.113
54041,7,0.116
54043,2,0.191
54045,6,0.202
54047,7,0.314
54049,4,0.106
54051,3,0.077
54053,6,0.14
54055,4,0.165
54057,3,0.078
54059,7,0.245
54061,3,0.076
54063,8,0.155
54065,8,0.141
54067,6,0.131
54069,3,0.065
54071,8,0.186
54073,6,0.109
54075,9,0.174
54077,3,0.132
54079,2,0.083
54081,3,0.135
54083,7,0.145
54085,8,0.154
54087,6,0.209
54089,6,0.15
54091,6,0.107
54093,8,0.122
54095,9,0.108
54097,7,0.146
54099,2,0.203
54101,9,0.207
54103,6,0.138
54105,3,0.171
54107,3,0.101
54109,6,0.198
55000,,0.078
55001,8,0.125
55003,7,0.078
55005,6,0.098
55007,8,0.049
55009,2,0.079
55011,8,0.091
55013,8,0.068
55015,3,0.058
55017,3,0.072
55019,6,0.177
55021,2,0.073
55023,7,0.087
55025,2,0.042
55027,4,0.092
55029,6,0.056
55031,2,0.063
55033,6,0.063
55035,3,0.059
55037,9,0.069
55039,3,0.082
55041,9,0.112
55043,6,0.077
55045,2,0.076
55047,6,0.102
55049,2,0.048
55051,9,0.055
55053,6,0.101
55055,4,0.082
55057,7,0.116
55059,1,0.099
55061,2,0.069
55063,3,0.05
55065,8,0.092
55067,6,0.097
55069,6,0.08
55071,4,0.08
55073,3,0.082
55075,6,0.089
55077,8,0.109
55078,8,0.081
55079,1,0.117
55081,6,0.091
55083,2,0.096
55085,7,0.069
55087,3,0.059
55089,1,0.032
55091,8,0.09
55093,1,0.049
55095,6,0.062
55097,4,0.061
55099,9,0.082
55101,3,0.095
55103,6,0.099
55105,3,0.092
55107,6,0.12
55109,1,0.038
55111,4,0.091
55113,7,0.077
55115,6,0.086
55117,3,0.068
55119,6,0.116
55121,6,0.093
55123,6,0.106
55125,9,0.063
55127,4,0.092
55129,7,0.078
55131,1,0.051
55133,1,0.038
55135,6,0.082
55137,6,0.132
55139,3,0.071
55141,4,0.073
56000,,0.068
56001,4,0.041
56003,9,0.103
56005,5,0.071
56007,7,0.09
56009,6,0.092
56011,9,0.073
56013,7,0.079
56015,7,0.079
56017,7,0.053
56019,7,0.04
56021,3,0.07
56023,7,0.072
56025,3,0.075
56027,9,0.129
56029,7,0.045
56031,7,0.089
56033,7,0.047
56035,9,0.04
56037,5,0.072
56039,7,0.048
56041,7,0.073
56043,7,0.102
56045,7,0.063
72000,,0.235
72001,6,0.347
72003,2,0.343
72005,2,0.262
72007,1,0.293
72009,1,0.219
72011,2,0.304
72013,3,0.232
72015,3,0.208
72017,1,0.259
72019,1,0.273
72021,1,0.193
72023,3,0.297
72025,1,0.186
72027,3,0.29
72029,1,0.249
72031,1,0.154
72033,1,0.265
72035,1,0.246
72037,1,0.268
72039,1,0.329
72041,1,0.239
72043,4,0.221
72045,1,0.297
72047,1,0.307
72049,9,0.296
72051,1,0.191
72053,1,0.199
72054,1,0.224
72055,2,0.301
72057,3,0.231
72059,2,0.231
72061,1,0.155
72063,1,0.197
72065,3,0.274
72067,3,0.236
72069,1,0.234
72071,2,0.295
72073,6,0.244
72075,2,0.23
72077,1,0.245
72079,3,0.373
72081,2,0.354
72083,6,0.456
72085,1,0.222
72087,1,0.25
72089,1,0.23
72091,1,0.274
72093,6,0.482
72095,1,0.335
72097,3,0.281
72099,2,0.306
72101,1,0.295
72103,1,0.264
72105,1,0.292
72107,1,0.323
72109,3,0.269
72111,2,0.262
72113,2,0.219
72115,3,0.261
72117,2,0.329
72119,1,0.219
72121,3,0.257
72123,4,0.262
72125,3,0.284
72127,1,0.187
72129,1,0.281
72131,2,0.322
72133,4,0.162
72135,1,0.174
72137,1,0.189
72139,1,0.156
72141,2,0.278
72143,1,0.27
72145,1,0.284
72147,7,0.288
72149,2,0.22
72151,1,0.29
72153,2,0.266